nom,adresse,telephone,email
"MÉDIATHÈQUE VIOLETTE LEDUC","18, rue Faidherbe","01 55 25 80 20","mediatheque.violette-leduc@paris.fr"
"Bibliothèque Toni Morrison","20 bis, avenue Parmentier","01 55 28 30 15","bibliotheque.parmentier@paris.fr"
"Bibliothèque Diderot","42, avenue Daumesnil","01 43 40 69 94","bibliotheque.diderot@paris.fr"
"Bibliothèque de la maison du jardinage","41, rue Paul Belmondo","01 53 46 19 19","bibliotheque.jardinage@paris.fr"
"Bibliothèque DE L’ÉCOLE Du Breuil","Route de la ferme (Bois de Vincennes)","01 53 66 14 02","bibliotheque.dubreuil@paris.fr"
"Médiathèque Hélène Berr","70, rue de Picpus","01 43 45 87 12","mediatheque.helene-berr@paris.fr"
"Bibliothèque Paris nature","Parc Floral - Pavillon 2","n/a","bibliotheque.nature@paris.fr"
"Bibliothèque Saint-Éloi","23, rue du Colonel Rozanoff","01 53 44 70 30","bibliotheque.saint-eloi@paris.fr"
"BIBLIOTHÈqUE DE L’ÉCOLE ESTIENNE","18, boulevard Auguste-Blanqui","01 55 43 47 64","bibliotheque@ecole-estienne.fr"
"BIBLIOTHÈqUE GLACIÈRE MARINA TSVETAÏEVA","132, rue de la Glacière","01 45 89 55 47","bibliotheque.glaciere@paris.fr"
"Bibliothèque Italie","211-213, boulevard Vincent Auriol","01 56 61 34 30","bibliotheque.italie@paris.fr"
"Médiathèque Jean-Pierre Melville","79, rue Nationale","01 53 82 76 76","mediatheque.jean-pierre.melville@paris.fr"
"Bibliothèque Marguerite Durand (BMD)","Même adresse que Médiathèque Jean-Pierre Melville","01 53 82 76 77","bmd@paris.fr"
"Médiathèque Virginia Woolf","4, rue Germaine Krull","01 44 08 12 71","mediatheque.virginia.woolf@paris.fr"
"MÉDIATHÈQUE MUSICALE DE PARIS – Christiane Eda-Pierre","Forum des Halles, -8, Porte Saint-Eustache","01 55 80 75 30","mmp@paris.fr"
"BIBLIOTHÈQUE CHARLOTTE DELBO","2, passage des Petits Pères","01 53 29 74 30","bibliotheque.charlotte-delbo@paris.fr"
"BIBLIOTHÈQUE MARGUERITE AUDOUX","10, rue Portefoin","01 44 78 55 20","bibliotheque.marguerite-audoux@paris.fr"
"BIBLIOTHÈQUE ARTHUR RIMBAUD","2, place Baudoyer","01 44 54 76 70","bibliotheque.arthur-rimbaud@paris.fr"
"BIBLIOTHÈQUE DE L’HÔTEL DE VILLE (Bhdv)","Hôtel de Ville, entrée: 29 rue de Rivoli","01 42 76 48 87","bhdv@paris.fr"
"BIBLIOTHÈQUE FORNEY","Hôtel de Sens, 1, rue du Figuier","01 42 78 14 60","bibliotheque.forney@paris.fr"
"BIBLIOTHÈQUE HISTORIQUE DE LA VILLE DE PARIS (BHVP)","Hôtel Lamoignon, 24, rue Pavée","01 44 59 29 40","bhvp@paris.fr"
"BIBLIOTHÈQUE BUFFON","15 bis, rue Buffon","01 55 43 25 25","bibliotheque.buffon@paris.fr"
"CENTRE DE DOCUMENTATION SUR LES MÉTIERS DU LIVRE (CDML)","mêmes adresse que Buffon","01 55 43 25 15","cdml@paris.fr"
"Bibliothèque des Littératures Policières (BILIPO)","48-50, rue du Cardinal Lemoine","01 42 34 93 00","bilipo@paris.fr"
"Bibliothèque L’Heure Joyeuse","6-12, rue des Prêtres-Saint-Séverin","01 80 05 47 60","bibliotheque.heurejoyeuse@paris.fr"
"Bibliothèque Mohammed Arkoun","74-76, rue Mouffetard","01 43 37 96 54","bibliotheque.mohammed-arkoun@paris.fr"
"Bibliothèque Rainer Maria Rilke","88 ter, boulevard de Port-Royal","01 56 81 10 70","bibliotheque.rainer-maria.rilke@paris.fr"
"BIBLIOTHÈqUE ANDRÉ MALRAUX","112, rue de Rennes","01 45 44 53 85","bibliotheque.andre-malraux@paris.fr"
"Bibliothèque Amelie","164, rue de Grenelle","01 47 05 89 66","bibliotheque.amelie@paris.fr"
"Bibliothèque Saint-Simon","116 rue de Grenelle (cour de la mairie porte D)","01 53 58 76 40","bibliotheque.saint-simon@paris.fr"
"BIBLIOTHÈqUE AGUSTINA BESSA-LUÍS","17 ter, avenue Beaucour","01 47 63 22 81","bibliotheque.courcelles@paris.fr"
"Bibliothèque Jean d’Ormesson","Mairie, 3 rue de Lisbonne","01 44 90 75 45","bibliotheque.europe@paris.fr"
"BIBLIOTHÈqUE LOUISE WALSER-GAILLARD","26, rue Chaptal","01 49 70 92 80","bibliotheque.walser-gaillard@paris.fr"
"Bibliothèque Drouot","11, rue Drouot","01 42 46 97 78","bibliotheque.drouot@paris.fr"
"Bibliothèque Valeyre","24, rue Marguerite de Rochechouart","01 42 85 27 56","bibliotheque.valeyre@paris.fr"
"BIBLIOTHÈQUE DU CINÉMA FRANÇOIS TRUFFAUT","Forum des Halles, niveau -3, 4 rue du Cinéma","01 40 26 29 33","bibliotheque.cinema@paris.fr"
"MédiaTHèque de la CANOPÉE La Fontaine","10, passage de la Canopée","01 44 50 76 56","mediatheque.canopee@paris.fr"
"Bibliothèque François Villon","81, boulevard de la Villette","01 42 41 14 30","bibliotheque.francois-villon@paris.fr"
"Médiathèque Françoise Sagan","8 rue Léon Schwartzenberg","01 53 24 69 70","mediatheque.francoise-sagan@paris.fr"
"Fonds patrimonial Heure Joyeuse","mêmes adresse et tél. que la médiathèque Françoise Sagan","mêmes téléphone","bibliotheque.heurejoyeuse-patrimoine@paris.fr"
"Bibliothèque Claire bretécher","11, rue de Lancry","01 42 03 25 98","bibliotheque.lancry@paris.fr"
